hash,benchmark,verified-result,claimed-result,dps,gimsatul,mallob-ki,mergesat-aws,nps,pakis22,pakismab22,parkissat-rs,pkissat,pmcomsps
002a0330958a14deb23dcc84b5489e8a,traffic_f_unknown.cnf,unsat,unsat,110.003,329.114,22.473,354.566,102.107,576.735,818.05,20.639,623.085,146.154
004b0f451f7d96f6a572e9e76360f51a,spg_420_280.cnf,unsat,unsat,84.163,399.422,90.154,48.01,76.816,101.564,163.608,51.051,463.612,452.557
00aefd1fc30c425075166ca051e57218,barman-pfile10-038.sas.ex.15.cnf,unsat,unsat,78.718,921.291,23.739,10000.0,51.849,126.867,219.023,18.34,10000.0,10000.0
01d142c43f3ce9a8c5ef7a1ecdbb6cba,urquhart3_25bis.shuffled.cnf,unsat,unsat,4.326,1.433,0.768,4.575,1.682,10.037,26.037,10.038,4.032,1.611
02627689047d06fbb642eef14768d751,ps_200_300_70.cnf,unsat,unsat,58.639,180.903,16.796,144.705,44.473,40.263,98.881,32.316,333.004,170.707
0294158664d9ada36bd23fbb652cb823,smtlib-qfbv-aigs-countbits128-tseitin.cnf,unsat,unsat,731.997,521.191,637.259,2069.864,718.935,855.291,732.285,823.719,10000.0,10000.0
02c6fe8483e4f4474b7ac9731772535d,ncc_none_7047_6_3_3_0_0_420.cnf,unsat,unsat,120.513,957.258,263.676,139.05,105.584,225.497,302.355,46.618,2953.688,934.267
0398e6b20de133ba8b49c74b67dad7b7,6s133-sc2014.cnf,unsat,unsat,407.684,1026.421,1.365,81.918,529.835,639.6,754.167,96.374,1230.55,598.304
03c44a93577c98119dc498053888937a,ctl_4291_567_1_unsat_pre.cnf,unsat,unsat,398.574,2557.621,88.833,1124.814,416.33,4133.119,10000.0,172.216,1408.038,1316.906
04157f716c1e9606c6a530657bf8f957,Kakuro-easy-125-ext.xml.hg_4.cnf,unsat,unsat,4854.875,10000.0,1559.542,1061.882,2520.485,10000.0,10000.0,1487.259,10000.0,10000.0
0447371bb8a97e8fe5d3cee6de1db766,UTI-20-10p0-sc2009.cnf,unsat,unsat,107.915,123.453,125.599,300.613,52.342,533.916,517.964,59.528,2510.867,368.817
047c92e7c0a36a23d8107f4313517719,rubikcube701-sc2017.cnf,unsat,unsat,445.809,2489.492,56.553,914.903,347.729,2031.584,3855.289,366.144,968.896,887.426
064fe286277f695f42b556ef991036ff,sin_depth_miter_2.cnf,unknown,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,2696.15,10000.0,10000.0
07b7859003d84402cbb1ebdc37655d55,6s186_Iter20.cnf,unsat,unsat,31.125,43.838,17.786,254.721,23.663,186.088,179.085,55.122,851.486,46.621
0823bc5f954c6366702877556f0d3680,linked_list_swap_contents_safety_unwind66.cnf,unsat,unsat,96.976,374.207,313.222,979.617,245.332,84.085,272.985,58.011,10000.0,10000.0
0855033e761d91ae367e867c5a569f9e,atco_enc1_opt2_10_15.cnf,unsat,unsat,60.047,230.393,40.801,307.047,72.363,221.219,645.226,41.2,603.712,232.24
08991fb6c7c45205df7f2bc2f51fb1d9,bobsmdct_k500.cnf,unknown,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,3695.707,10000.0,10000.0
0a20cb72e5b005b8ed09d8a93184604a,j3037_9_gmto_bm1.cnf,unknown,unsat,10000.0,10000.0,3872.117,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
0a3cb69074519646b0f2933ba7ad2d30,aws-encryption-sdk-c:aws_cryptosdk_hdr_write.cnf,unsat,unsat,10000.0,3368.61,283.979,1266.993,4958.201,979.168,1221.705,193.12,10000.0,4530.394
0a514edbeace21927e52d75f2d4a8efd,ota-for-aws-iot-embedded-sdk:parseJSONbyModel.cnf.gz,unsat,unsat,3471.072,10000.0,10000.0,10000.0,2243.69,10000.0,10000.0,10000.0,10000.0,1249.35
0dc468413b65339fad7e4f981bf2fb1e,reconf20_61_myciel4_2.cnf,unsat,unsat,12.737,41.318,18.188,105.18,5.729,12.16,17.327,4.326,79.586,36.57
0e89b0f96c99f1a6aaaf66c3ae805919,SCPC-500-15.cnf,unsat,unsat,36.665,97.798,5.783,541.972,35.086,305.241,475.376,10.059,117.462,51.136
109aa0f5e177c1efb72f133a6f8c723b,hantzsche_wendt_unit_92.cnf,unsat,unsat,166.564,287.83,202.908,2031.156,165.755,1720.25,1530.207,289.155,1345.01,96.616
114f1b2ffd86e8a176bcbab664415520,bobsmdct_k88.cnf,unsat,unsat,1455.037,2877.78,195.521,1485.479,1434.628,1551.673,1212.755,259.72,10000.0,2460.044
13b13b34fe88f093aca06d6d035ee797,Lab-Project-FreeRTOS-Cellular-Library:Cellular_ATRemovePrefix.cnf,unsat,unsat,1521.597,1941.168,544.062,4347.656,594.49,844.867,705.594,251.521,10000.0,10000.0
161a73825fb50badeedbf8d12e1e043a,cfi-rigid-z2-0088-03-or_2.cnf,unsat,unsat,39.888,31.307,58.557,199.83,31.578,229.72,160.006,45.648,10000.0,163.376
16a0949c23ac67c57c5773403daaca60,coreMQTT:MQTT_Connect.cnf,unsat,unsat,871.739,1709.607,369.639,561.026,1331.796,712.511,972.939,290.411,10000.0,2252.583
1b78438db7da55c2b4c4b8ec6b6cd6c6,soelberg_unit_158.cnf,unknown,unsat,4417.591,10000.0,3204.584,10000.0,10000.0,10000.0,10000.0,3282.636,10000.0,10000.0
20840b5020649385e3f8f4965de7a123,hantzsche_wendt_unit_83.cnf,unsat,unsat,316.585,632.275,64.316,1055.569,366.233,1727.452,3375.206,86.125,1321.432,1128.826
23e61c50ee2ac5cad1d337572abdebcf,aws-encryption-sdk-c:aws_cryptosdk_priv_hdr_parse_edks.cnf,unsat,unsat,852.892,3392.342,660.132,910.007,697.371,569.476,954.549,291.281,10000.0,2552.797
26342c62148962a09872831b7cef8aae,div-mitern165.cnf,unsat,unsat,952.687,10000.0,729.799,858.644,1532.809,2056.437,10000.0,481.135,10000.0,10000.0
26f8332e50a4ba5c371852e3737a3002,mdp-28-11-unsat.cnf,unsat,unsat,1265.044,3381.101,147.79,10000.0,1305.548,10000.0,10000.0,1192.143,4182.601,495.95
2c0379771c5313567ea9e230438f203f,reconf20_320_hc-square-2_1.cnf,unsat,unsat,724.347,558.671,121.306,658.688,553.786,485.241,992.593,111.632,1205.811,1303.028
2c7cb0ff324a42a0699c23317c97a29a,6s320rb1_Iter8.cnf,unsat,unsat,286.441,1050.297,88.778,559.243,284.775,1197.836,2371.054,116.592,3549.674,2146.223
2f9cb22859718ab6c201726a91cfefe1,aws-encryption-sdk-c:aws_cryptosdk_priv_try_gen_key.cnf,unsat,unsat,2257.783,3186.018,1065.033,1501.112,1759.68,642.382,1167.667,248.336,10000.0,10000.0
3159a02d096424aab6295c76360633a9,SCPC-500-10.cnf,unsat,unsat,3.8,6.339,5.368,414.013,2.416,64.061,43.054,8.057,36.861,12.503
351746fa3de2464c903c85e726cfed55,linked_list_swap_contents_safety_unwind67.cnf,unsat,unsat,194.518,332.511,402.312,911.674,145.286,159.485,247.586,42.51,10000.0,3264.726
354c2088ae7648e1dc51d12947c8043a,bobsmdct_init_k88.cnf,unsat,unsat,1163.087,3109.098,868.531,3884.295,2032.951,1987.006,2438.13,501.711,10000.0,10000.0
35ad744923721e37a2f58443179c31a8,coreMQTT:MQTT_SerializeConnect.cnf,unsat,unsat,1095.615,1627.614,291.612,387.242,775.669,2042.959,2822.769,234.603,10000.0,2449.519
3666617901c8500d78700dac959729d4,pj2002_k9.cnf,unsat,unsat,2740.52,2959.4,294.19,226.088,1448.658,3653.352,10000.0,410.893,10000.0,10000.0
372021735d9e46002b862aa2a038a818,j3045_4_rggt_bm1.cnf,unsat,unsat,172.894,1253.225,99.448,766.445,358.06,1191.297,2788.014,174.151,1697.605,577.891
39b3fde35939134f3b011ebb31842610,PancakeVsInsertSort_9_4.cnf,unknown,unsat,2380.915,10000.0,743.997,10000.0,4512.054,10000.0,10000.0,1584.222,10000.0,10000.0
3cbd82017c4a304c014dd87a69f6028c,bmc_QICE_req_sfl_30.cnf,unsat,unsat,10000.0,10000.0,4561.672,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
3d2a6e5c2f8f58dee79fd50444009625,cfi-rigid-z2-0088-03-or_2_shuffle_all.cnf,unsat,unsat,114.622,241.182,77.44,661.889,83.47,388.467,430.628,58.709,10000.0,1976.841
3d2b0088dccf11d1f82c89b7122c26e1,cfi-rigid-z2-0088-01-or_2_shuffle_all.cnf,unsat,unsat,64.363,158.966,71.924,702.115,54.339,199.691,286.136,58.997,10000.0,1434.13
3d449de3d6e722c9ce4a38ec748ee3cf,sudoku-N30-10.cnf,unknown,unsat,10000.0,10000.0,1944.984,4488.087,10000.0,10000.0,10000.0,2191.219,10000.0,10000.0
3d4beaebb3d87819ce9ff59e72047ef7,sudoku-N30-20.cnf,unsat,unsat,1471.187,10000.0,564.392,1772.964,1290.71,1244.45,1407.671,741.126,10000.0,2542.61
3fb045f58aaf394165735c39c49fad92,linked_list_swap_contents_safety_unwind56.cnf,unsat,unsat,71.623,178.75,146.239,615.327,54.025,104.922,50.147,27.565,10000.0,966.289
3ff263696219ca9e301b0a1b345eb9aa,SCPC-500-4.cnf,unsat,unsat,26.954,102.281,6.551,614.295,26.249,108.086,324.293,11.06,89.31,66.097
41423c03ef173a5b81d6e6776f316fa5,PancakeVsInsertSort_7_8.cnf,unsat,unsat,268.655,937.38,10000.0,920.317,285.769,1120.182,2673.705,347.107,10000.0,1198.763
4348c6b9af237291558b154a9de82969,aws-encryption-sdk-c:aws_cryptosdk_priv_hdr_parse_aad.cnf,unsat,unsat,4815.624,10000.0,2096.069,10000.0,2799.966,2479.353,4326.13,577.115,10000.0,4224.863
43687a48fb119ca61b47c2fc69a71e7d,manthey_single-ordered-initialized-w42-b8.cnf,unsat,unsat,15.115,38.201,26.187,237.117,11.045,128.081,140.098,15.116,334.63,40.748
436d00b6d41912e800e9855d08c75139,manol-pipe-f7nidw.cnf,unsat,unsat,27.888,12.72,50.61,49.103,19.842,29.605,26.565,22.119,310.416,69.142
4408f3ebfc37275a23ef57cfcc8aba6d,aws-encryption-sdk-c:aws_cryptosdk_priv_hdr_parse_content_type.cnf,unsat,unsat,3081.532,10000.0,430.388,638.818,1860.073,519.987,1547.999,181.391,10000.0,10000.0
4513c58c16e72a34f9f8518db7baeb9e,ktf_TF-3.tf_3_0.02_24.cnf,unsat,unsat,255.444,307.78,37.061,272.24,191.452,581.464,1272.237,36.144,653.66,96.459
45ec40c74fdbf2fe41122ac1e31e6c8e,worker_30_120_30_0.8.cnf,unknown,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
47a1a6f5687ed19c5c0f77c2c81f3f81,tseitin_grid_n14_m14.cnf,unknown,unsat,10000.0,10000.0,1.008,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
488b147304549670f31653c932684e2c,sin-mitern28.cnf,unsat,unsat,81.387,527.39,22.788,1538.234,52.983,317.392,563.965,15.128,748.22,219.672
48eacbc152c7710dfd6fe17a8a17199e,SCPC-500-7.cnf,unsat,unsat,11.078,42.021,6.87,548.32,4.047,96.064,115.08,13.06,40.7,31.863
4a85e090bda23cef9bf2aed55d489ab6,sin_depth_miter_5.cnf,unsat,unsat,797.925,10000.0,10000.0,758.657,1516.566,10000.0,10000.0,1297.279,10000.0,10000.0
4f888358cd62fe7bc602ea6882cdfc6d,bivium-40-200-0s0-0x92fc13b11169afbb2ef11a684d9fe9a19e743cd6aa5ce23fb5-19.cnf,unsat,unsat,169.232,717.336,35.79,3326.462,256.591,777.231,1163.385,242.07,1205.451,554.181
51dd2c14736f2d9164f749d6a633ccb5,j3045_10_mdd_bm1.cnf,unknown,unsat,10000.0,10000.0,2936.802,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
567964f034c8ffa65952897ce4927c6c,ablmulub16x4o.cnf,unsat,unsat,28.22,20.325,23.63,310.532,25.406,77.049,77.065,37.061,762.375,59.644
56e7489da32260e1bdd085a418592ec2,cliquecoloring_n18_k6_c5.cnf,unknown,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4321.456,10000.0,10000.0
59047491e4828ed2bb79572330df6f77,mdp-32-16-unsat.cnf,unknown,unsat,10000.0,10000.0,4507.746,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
594b07c07aee036a7aca35d44e2316da,div-mitern168.cnf,unsat,unsat,523.011,1563.212,116.226,426.946,342.763,906.385,1032.622,157.093,2183.43,1332.786
59e596f5f845a2487370950b37ec3db2,aws-encryption-sdk-c:aws_cryptosdk_enc_ctx_size.cnf,unsat,unsat,1408.365,971.037,422.667,459.496,1198.323,341.521,436.732,356.576,10000.0,1023.247
5c6495ff589cbbcb550e1655dadbd143,worker_40_80_35_0.85.cnf,unknown,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
5cc5e3d24402696ed4ec03edfa42d663,sudoku-N30-24.cnf,unsat,unsat,495.982,4460.507,136.98,89.933,314.68,269.068,387.777,95.706,719.875,700.554
5d357f1e4b5abc96c90d305f629edd5c,ps_200_323_70.cnf,unsat,unsat,86.361,549.059,40.601,188.079,51.45,81.469,117.163,32.476,10000.0,385.004
5e04f38ff11cee5d75fb98e12f6a14fc,sqrt-mitern172.cnf,unsat,unsat,39.891,51.516,12.982,177.144,31.16,60.075,119.248,24.064,205.898,28.853
