hash,benchmark,verified-result,claimed-result,dps,gimsatul,mallob-ki,mergesat-aws,pakismab22,pmcomsps
00063d88244921d6ec46aeab6866a8e2,6s16.cnf,unsat,unsat,1277.776,10000.0,1.068,169.987,10000.0,1312.263
002a0330958a14deb23dcc84b5489e8a,traffic_f_unknown.cnf,unsat,unsat,413.791,558.653,23.098,357.185,684.768,473.062
0033baadbd48d3f880e9b5a733bd4950,rope_0030.shuffled.cnf,unsat,unsat,3.585,5.288,0.766,0.279,1.263,3.853
0041051c73dcdd885d412a38e8b09fba,rphp4_065_shuffled.cnf,unsat,unsat,252.194,930.587,30.481,584.019,2285.033,212.541
0041f01bcd7d0d1f9541cea6da79ad57,SGI_30_60_24_40_2-dir.shuffled-as.sat03-118.cnf,unsat,unsat,87.473,446.503,21.79,1469.055,10000.0,319.104
004b0f451f7d96f6a572e9e76360f51a,spg_420_280.cnf,unsat,unsat,376.216,735.456,10000.0,47.989,308.824,224.711
005ccb378ced61c02105ed7ee0a62038,mm-2x2-5-0-s.1.shuffled-as.sat03-1496.cnf,unsat,unsat,31.188,51.817,1.877,4.457,27.455,34.016
0064aa2e16c9d4b18d32a45d3073fce9,desmul.miter.used-as.sat04-330.cnf,unsat,unsat,112.278,32.203,13.137,26.084,135.538,210.978
0071b624d91ebe408b0585f8c4e34fd9,ctl_4291_567_7_unsat.cnf,unsat,unsat,969.164,386.998,46.805,742.117,10000.0,1026.925
008e7716c69009090ff6bd0048dc55f8,SAT_dat.k10.cnf,unsat,unsat,1124.032,1579.001,136.484,92.334,455.885,1514.178
00aefd1fc30c425075166ca051e57218,barman-pfile10-038.sas.ex.15.cnf,unsat,unsat,189.385,1695.125,29.269,10000.0,255.014,10000.0
00b9b467c26540853360491401da61a5,minand064.cnf,unsat,unsat,172.996,0.484,3.121,1.251,21.339,8.548
00d239e486137a4f7264adb4fb57d5ae,hwb-n24-01-S1048418025.shuffled-as.sat03-1617.cnf,unsat,unsat,355.297,248.625,8.781,472.79,1520.626,13.466
00f2eb377986e7decbc863931680a3b2,rand_net70-40-10.shuffled.cnf,unsat,unsat,34.709,66.392,0.667,6.584,64.426,11.883
00f969737ba4338bd233cd3ed249bd55,3col20_5_6.shuffled.cnf,unsat,unsat,0.266,0.052,0.671,0.039,1.299,3.62
0107f34364dfff8ab062193b2c71b4de,sp4-33-bin-nons-flat-noid.cnf,unsat,unsat,173.202,1111.972,11.779,910.608,4601.676,195.367
010c9d7a6e9e6cac63f110915d9dd56e,3col60_5_9.shuffled.cnf,unsat,unsat,0.064,0.054,0.671,0.046,1.041,4.033
01243b47967a3d012ea22e993355c833,f8bidw.cnf,unsat,unsat,1189.561,131.045,122.272,73.752,1266.726,860.952
013a51ccada51812061ed2d6504e23a5,gensys-icl003.shuffled-as.sat05-3824.cnf,unsat,unsat,69.662,306.471,5.769,79.421,1468.081,130.195
0141b82b3d2a411d8c2168119e2d7452,rope_0012.shuffled.cnf,unsat,unsat,0.917,1.93,81.399,0.139,1.72,10000.0
0152d286cde406747d179c36a95c2fdc,shift1add.10000.cnf,unsat,unsat,48.895,7.311,59.861,2.779,67.967,91.695
01657386753a1369dd286a3fee9062e4,SGI_30_70_28_60_1-log.shuffled-as.sat03-176.cnf,unknown,unsat,10000.0,10000.0,1234.889,10000.0,10000.0,10000.0
01843a0195183ca14246a88bf7bad482,smulo016.cnf,unsat,unsat,43.581,22.79,3.771,22.521,16.329,16.595
01966a0fc52b2200a13f5f835275a919,SGI_30_70_27_50_3-dir.shuffled-as.sat03-169.cnf,unsat,unsat,181.254,2206.12,122.777,3369.396,10000.0,3549.885
01979ca4966cc363ec3caeebd8d3fc31,connm-ue-csp-sat-n600-d0.04-s1979668539.used-as.sat04-981.cnf,unsat,unsat,113.405,234.432,91.06,210.829,245.446,167.232
019dc69c96737c3d62696c9acf3edf1b,T107.2.0.cnf,unsat,unsat,3243.43,1548.095,501.597,336.308,10000.0,10000.0
01a74343f618546e9ad2a60849140317,crafted_n12_d6_c3_num26.cnf,unsat,unsat,417.784,242.264,59.577,1719.32,198.051,10000.0
01af042093bf36119811b6e658e7a231,ecgrid6x155_shuffled.cnf,unsat,unsat,10000.0,10000.0,1182.11,3000.453,10000.0,10000.0
01bd0865ab694bc71d80b7d285d5777d,shuffling-2-s1480152728-of-bench-sat04-434.used-as.sat04-711.cnf,unsat,unsat,1216.432,396.228,61.716,63.091,570.735,10000.0
01d142c43f3ce9a8c5ef7a1ecdbb6cba,urquhart3_25bis.shuffled.cnf,unsat,unsat,66.771,97.462,74.851,4.582,540.958,2.47
01d494c2afa4960a236bf8412e2bd08a,manol-pipe-c10id_s.cnf,unsat,unsat,45.054,192.179,8.076,7.072,79.564,10000.0
01dd5feb463fa80f73809718f6ff735b,10pipe_q0_k.cnf,unsat,unsat,2296.436,172.612,3116.622,108.491,2299.184,561.066
02066c116dbacc40ec5cca2067db26c0,mrpp_4x4#12_12.cnf,unsat,unsat,88.503,53.327,10.708,71.698,22.239,22.484
021331d523ad3092616ff99cf0c6c355,arcfour_initialPermutation_6_14.cnf,unsat,unsat,96.396,841.558,107.568,233.287,1246.5,1220.347
022b841952d37f0d6a0d050c9b4b0071,goldb-heqc-i8mul.cnf,unsat,unsat,334.536,548.751,14.796,21.018,1849.819,130.816
022dc7e9935f3570c088db58bd84b2c6,mrpp_6x6#12_8.cnf,unsat,unsat,0.833,10.968,74.986,0.144,2.618,4.907
02404a08ea36dd43362bbddc578c839d,ctl_4201_555_unsat.cnf,unsat,unsat,496.255,3332.24,82.679,968.906,10000.0,1084.62
02627689047d06fbb642eef14768d751,ps_200_300_70.cnf,unsat,unsat,192.809,348.06,23.7,143.903,27.196,226.058
0294158664d9ada36bd23fbb652cb823,smtlib-qfbv-aigs-countbits128-tseitin.cnf,unsat,unsat,1466.644,4247.0,671.684,2046.214,2909.483,10000.0
0297c2a35f116ffd5382aea5b421e6df,Urquhart-s3-b3.shuffled-as.sat03-1556.cnf,unsat,unsat,57.964,23.176,2.042,4.444,136.42,10000.0
02bc149bbe801807912f651c7bad3e74,dead-dnd008.shuffled-as.sat05-3114.cnf,unsat,unsat,1205.38,1652.97,40.104,1227.579,1332.707,1191.812
02c3f1d24074cba45a64d0b4b5aa0238,g2-hwmcc15deep-bobpcihm-k32.cnf,unsat,unsat,10000.0,10000.0,279.789,1931.782,10000.0,10000.0
02c6fe8483e4f4474b7ac9731772535d,ncc_none_7047_6_3_3_0_0_420.cnf,unsat,unsat,602.478,10000.0,255.775,139.579,4292.501,2760.361
02d8847ee38504792705d794eb93e9a7,traffic_b_unsat.cnf,unsat,unsat,39.226,1281.112,26.098,299.552,10000.0,582.468
02eef920cd1aab9ef3492fe27bf515c4,php-025-024.shuffled-as.sat05-1191.cnf,unknown,unsat,10000.0,10000.0,0.666,10000.0,10000.0,10000.0
03041657b7177746724b819433c83b20,blocks-4-ipc5-h21-unknown.cnf,unsat,unsat,239.829,20.574,14.59,18.558,1072.944,99.081
033560dbd1b4d3545b4b40ef90aaaa29,total-5-15-u.cnf,unknown,unsat,10000.0,10000.0,693.009,10000.0,10000.0,10000.0
033d611722714d5206cc0184479e92e2,urqh2x5.shuffled-as.sat03-1473.cnf,unsat,unsat,157.46,45.065,1.167,5.627,94.196,4.799
033f38da07bdbbad4763eaf1fe97ce37,AProVE07-27.cnf,unsat,unsat,449.546,593.08,31.848,552.258,1999.968,873.929
036b541db9d0839b0591d408ff4f77ae,aes_decry_2_rounds.debugged.cnf,unsat,unsat,87.472,77.89,94.551,34.799,1241.765,712.815
0398e6b20de133ba8b49c74b67dad7b7,6s133-sc2014.cnf,unsat,unsat,1535.895,2126.008,2.141,81.438,1586.837,823.015
03a1a18521814692f56a8ecbea0031d4,ablmulub2x32o-sc2016.cnf,unsat,unsat,1625.833,873.986,48.917,1128.388,654.64,3187.869
03a43a7ea55217f53542ed3f029963af,satch2ways16w.cnf,unsat,unsat,3730.295,10000.0,4588.08,10000.0,10000.0,3809.517
03b75ba4f3a1bdcc58c89e6846eecaab,x2_128.shuffled-as.sat03-1598.cnf,unknown,unsat,10000.0,10000.0,0.772,10000.0,10000.0,4.625
03c44a93577c98119dc498053888937a,ctl_4291_567_1_unsat_pre.cnf,unsat,unsat,1288.781,4261.444,86.844,1127.107,10000.0,10000.0
03c5fef8cb8957ecf687548c8d504d10,SGI_30_80_21_90_2-log.shuffled-as.sat03-198.cnf,unknown,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
03c8a9ffce923a8cb3452f18d371eacf,rook-55-0-1.cnf,unsat,unsat,10000.0,10000.0,10000.0,655.524,10000.0,10000.0
03d8064f3be30daecf2ffe4c54361e61,edges-025-4-7932777-1-00.cnf,unsat,unsat,10000.0,10000.0,0.669,10000.0,10000.0,3108.545
03f25e67e52baf9fb1e782026d46c8a8,rope_0003.shuffled.cnf,unsat,unsat,0.355,0.249,0.796,0.051,1.064,5.113
04071576275e4113b60c21601b364345,marg2x5.shuffled-as.sat03-1443.cnf,unsat,unsat,1.852,1.321,0.671,0.131,1.592,1.567
0412f6f3174dfc4c27ad0b61280cd739,SGI_30_40_30_20_2-dir.shuffled-as.sat05-442.cnf,unsat,unsat,331.011,3275.217,18.48,1366.658,10000.0,10000.0
04157f716c1e9606c6a530657bf8f957,Kakuro-easy-125-ext.xml.hg_4.cnf,unsat,unsat,10000.0,10000.0,1694.713,1064.013,10000.0,10000.0
041699620802b7ed905f93976ae60bef,longmult9.cnf,unsat,unsat,62.143,14.805,2.066,4.637,16.414,15.613
041ef0a56340a623c38e6b9012933624,shuffling-2-s554396412-of-bench-sat04-318.used-as.sat04-598.cnf,unsat,unsat,2066.682,4392.688,49.904,2369.54,10000.0,914.898
0421d8c1dec913b76dc72d781a864a80,dead-dnd006.shuffled-as.sat05-3112.cnf,unsat,unsat,806.945,581.19,19.48,1276.281,10000.0,136.159
042846b7b23a617ad1730e9eb2dbdceb,ctl_4291_567_9_unsat_pre.cnf,unsat,unsat,976.527,743.534,132.871,858.038,849.292,563.931
04327b18171b43ff06586707499b97fc,hypercube4.shuffled-as.sat03-1434.cnf,unsat,unsat,1.778,1.301,0.773,0.134,1.601,1.544
0447371bb8a97e8fe5d3cee6de1db766,UTI-20-10p0-sc2009.cnf,unsat,unsat,497.593,1840.645,120.466,300.959,4102.462,10000.0
044d27388c142e8e47812d9518e01b2f,shuffling-2-s2123257475-of-bench-sat04-327.used-as.sat04-589.cnf,unsat,unsat,121.148,110.524,6.671,10.264,148.3,6.703
044eced3d5aac22e0f34ad02071132f7,Q32inK10.cnf,unsat,unsat,78.476,113.78,5.778,40.23,400.743,91.165
04557a22f623dcbae86173fced057c99,baseballcover14with25.cnf,unsat,unsat,655.008,459.204,73.29,201.115,236.424,2174.295
0458851a021830f297e5dc3418ece838,g2-T96.1.1.cnf,unsat,unsat,204.422,10000.0,10000.0,816.307,679.859,10000.0
04674c7c9520c7edc0426b820f837726,hwb-n30-01-S682466202.shuffled-as.sat03-1632.cnf,unknown,unsat,10000.0,10000.0,330.813,10000.0,10000.0,10000.0
047c92e7c0a36a23d8107f4313517719,rubikcube701-sc2017.cnf,unsat,unsat,2190.382,10000.0,59.052,914.965,10000.0,1299.181
04b2a7f442ed1b15439d0678ce902d6f,f2clk_40.shuffled.cnf,unsat,unsat,97.69,84.704,10.89,63.582,64.38,10000.0
04d2cca932a87b98ebfc7bbd0fe6ed5d,safe009_pso.oepc_true-unreach-call.i-cbmc-u2.cnf,unsat,unsat,19.256,58.018,1.771,2.775,5.383,31.223
04dd37bd8e319df958e1e091ec60de5b,gensys-icl003.shuffled-as.sat05-2715.cnf,unsat,unsat,45.317,62.298,84.442,14.023,176.222,14.984
04e50bc7a121716e396dc538ab24490e,5col120_15_5.shuffled.cnf,unsat,unsat,502.79,239.191,17.794,470.97,279.067,500.805
050214ecbd9e96136fe1bc73447f1303,easier-php-035-029.sat05-1179.reshuffled-07.cnf,unknown,unsat,10000.0,10000.0,1.0,10000.0,10000.0,10000.0
0521cd68355dd16e8f7940f43003d904,crafted_n10_d6_c4_num10.cnf,unsat,unsat,215.542,239.258,56.582,1863.586,89.848,10000.0
0533a1506eb61460bee3917f61ca4c49,SGI_30_80_29_60_7-dir.shuffled-as.sat03-217.cnf,unknown,unsat,10000.0,10000.0,2843.102,10000.0,10000.0,10000.0
0534387f90398a24495d4b7b05f9b342,dated-5-13-u.cnf,unsat,unsat,1113.296,4669.476,98.95,2205.559,10000.0,10000.0
05680de3febd39916e496dd772cb8c19,minor032.cnf,unsat,unsat,9.272,5.159,0.867,0.645,2.56,1.491
057f143aae50b8abc3e083b7609353be,g2-T133.2.1.cnf,unknown,unsat,10000.0,10000.0,10000.0,3885.117,10000.0,10000.0
05817b4e1add561af0e1165e01fb48cc,q_query_3_l45_lambda.cnf,unsat,unsat,403.311,290.843,33.295,365.817,310.317,322.58
0587f345cca3ef8340e8e71829dce130,VanDerWaerden_2-3-12_135.cnf,unsat,unsat,31.378,183.197,5.872,89.265,344.473,10000.0
05c52a5f9133f5afca84767f2eff98fa,g2-T103.2.1.cnf,unsat,unsat,1294.839,3635.441,1659.921,393.514,10000.0,10000.0
05e5b5a37a0d7cb5e96c82b84bbdca66,Mycielski-11-hints-3.cnf,unsat,unsat,742.647,991.369,240.729,1771.356,10000.0,215.215
05f3a48298721d68cded8618b432e7c3,s85-100.cnf,unsat,unsat,10000.0,10000.0,0.666,3498.943,10000.0,525.018
060b7ed7ef9e59576b9ee62c998a5103,bvslt_13916.cnf,unsat,unsat,1712.19,10000.0,108.463,2965.839,2605.849,10000.0
0614e1ae5100ee0aca4ea24424479fa3,hwb-n32-01-S1491788039.shuffled-as.sat03-1637.cnf,unknown,unsat,10000.0,10000.0,475.831,10000.0,10000.0,10000.0
06166a0dd78f45c213add974a6711dfe,barman-pfile10-038.sas.cr.25.cnf,unsat,unsat,27.154,104.176,18.833,65.65,124.336,110.607
062f58e44eb73f9274b57af5092cad90,rook-51-0-0.cnf,unsat,unsat,4647.216,10000.0,10000.0,334.844,10000.0,10000.0
066d6a47dfd9648d913ba8dbce722d75,slp-synthesis-aes-bottom16.cnf,unsat,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
06872e73223dc74c76b06f37a185dc22,VanDerWaerden_2-3-16_238.cnf,unknown,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
068c64314f0f8405bc28bb4c52647145,sokoban-p20.sas.cr.27.cnf,unsat,unsat,4977.481,10000.0,483.157,10000.0,10000.0,1867.814
0697524f77ccd503f7e5fe15f23a1268,crafted_n12_d6_c4_num27.cnf,unsat,unsat,794.632,597.161,84.14,1783.229,425.625,10000.0
069f7d519e820f6b879f880703907bb3,SGI_30_60_28_40_2-dir.shuffled-as.sat03-124-sc2002.cnf,unsat,unsat,334.657,10000.0,138.567,4559.478,10000.0,544.968
06d2543c151c2478fde159c6dc0424ac,udiv45prop.cnf,unsat,unsat,10000.0,3785.546,10000.0,2638.261,10000.0,10000.0
06e997650b24ac5b5f87c1c64f4a5dcb,edn_9789_8.cnf_0.51000000.unsat.cnf,unsat,unsat,2.037,16.12,2.377,1.806,28.788,28.356
0701a5b57f9b37c5fcb77463c8582693,T84.2.0.cnf,unsat,unsat,10000.0,2400.562,402.386,278.828,300.415,10000.0
070fde310eca4ddf6967896052efcb30,at-least-two-smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin.cnf,unsat,unsat,17.01,447.001,39.605,9.473,335.252,59.146
073c28dfd3204f4c51e03c297ac841c1,mod2c-rand3bip-unsat-120-3.shuffled-as.sat05-2340.cnf,unsat,unsat,186.771,29.055,0.768,6.722,2069.874,5.183
075c4fe7ae4cef57f1a4c00e58142e23,x1.1_64.shuffled-as.sat03-1585.cnf,unknown,unsat,10000.0,10000.0,0.865,10000.0,10000.0,10000.0
076d4d6f83306ee69c35e3c99e30d8f8,x2_16.shuffled.cnf,unsat,unsat,1.283,1.168,1.177,0.124,1.609,1.546
079b400eede86df1f1ffd6a3c303278b,hypercube5.shuffled-as.sat03-1435.cnf,unsat,unsat,10000.0,10000.0,1.068,10000.0,10000.0,3.616
079fec8d04a6ee936227ea90ea0903bf,tseitingrid6x175_shuffled.cnf,unknown,unsat,10000.0,10000.0,1.469,10000.0,10000.0,1.614
07b476c83150d3cb7e08f5d045e255ab,marg5x5.shuffled-as.sat03-1455.cnf,unknown,unsat,10000.0,10000.0,0.873,10000.0,10000.0,3.82
07bbbb292324c8d8baeb232e144349fa,rand_net40-60-1.shuffled.cnf,unsat,unsat,1.163,1.443,0.667,0.222,3.934,4.81
07c50b89d97a55b6e1629999a445a2ba,ctl_4201_555_unsat_pre.cnf,unsat,unsat,1308.832,750.184,87.833,1063.54,10000.0,1524.771
07e851c74295f7ddf472820c0f0164e8,x2_72.shuffled-as.sat03-1604.cnf,unknown,unsat,10000.0,10000.0,0.872,10000.0,10000.0,10000.0
07f5f3ca046261c3819c5c888ac837e5,mod2c-rand3bip-unsat-105-3.shuffled-as.sat05-2325.cnf,unsat,unsat,88.267,22.413,0.867,3.767,118.659,3.936
08063f5baf6655656a300c946aaaca60,gt-ordering-unsat-gt-045.sat05-1310.reshuffled-07.cnf,unsat,unsat,18.07,18.377,6.67,1.782,1.165,6.188
08300e286c3380f7e7291ca6a534c97b,comb3.shuffled.cnf,unsat,unsat,35.056,10.934,2.67,4.61,96.362,11.253
0831000a5a9727aa5fa3332df10cdb57,edn_20403_12.cnf_0.08000000.unsat.cnf,unsat,unsat,3.252,5.577,0.969,0.764,3.599,24.635
08469bbccc41da0c124d69c61ce7dc58,barman-pfile07-027.sas.cr.37.cnf,unsat,unsat,38.148,124.833,24.317,51.382,64.215,57.946
0850db65220080c130d2f54005f9e2b3,dspam_dump_vc972.cnf,unsat,unsat,7.458,86.824,8.177,0.754,29.464,10.702
0855033e761d91ae367e867c5a569f9e,atco_enc1_opt2_10_15.cnf,unsat,unsat,32.38,320.472,39.8,310.976,10000.0,590.07
085792654d945c1de700245916f2c7f6,tseitingrid5x185_shuffled.cnf,unsat,unsat,10000.0,10000.0,1.368,2770.47,10000.0,2.953
08a25022c4136f2ceb36db62ce3503bb,c6bi_i.cnf,unsat,unsat,128.361,129.437,11.875,31.983,283.632,87.726
08abbb56b2345b2da7af8866a4e8ad44,size_4_5_5_i037_w31_r9.cnf,unsat,unsat,1172.392,811.816,533.788,10000.0,10000.0,10000.0
08be288536c3178e6874a5676493923c,g2-hwmcc15deep-bob12s02-k16.cnf,unknown,unsat,10000.0,10000.0,2234.798,10000.0,10000.0,10000.0
08c21a3bc091abcb67b883061e2381c9,mm-2x3-8-8-sb.1.shuffled-as.sat03-1504.cnf,unsat,unsat,1287.387,1005.163,84.843,1710.705,691.309,1092.39
08cb0cf252b65c30c7c55218825c6ca0,hsat_vc12072.cnf,unsat,unsat,22.918,35.458,1.674,0.833,7.096,36.786
08cf53ca00dce11f5bfc02121c9bcd33,GreenTao_2-3-5_528.cnf,unsat,unsat,380.629,935.028,16.781,523.879,1912.886,55.737
08e1c46acda38a12fa3229f9f224425d,Haystacks-ext-12_c18.cnf,unsat,unsat,1382.758,10000.0,47.004,10000.0,10000.0,10000.0
08e8e08679a3c2ccb537d682165cb351,by-X-2-7-100.cnf,unsat,unsat,1837.855,1937.443,114.578,956.636,10000.0,4058.452
08eeb55c898dc6bedc915ed191dab009,total-10-11-u.cnf,unsat,unsat,131.596,46.118,15.688,28.201,351.139,102.117
08f2462515d5c1ffd0881dd5801f54bd,SGI_30_70_28_60_5-dir.shuffled-as.sat03-177.cnf,unknown,unsat,10000.0,10000.0,1040.647,10000.0,10000.0,10000.0
0928111a3d5d5ce05dffb83cb5982eba,Steiner-9-5-bce.cnf,unsat,unsat,0.944,0.455,0.667,0.044,1.867,0.821
095c4cfbf18326c010e9e5d8ae652970,fdmus_b15_296.cnf,unsat,unsat,13.577,1.758,0.87,1.247,23.86,9.667
095e78b37897df838f5137b24aa59ed6,marg3x5.shuffled-as.sat03-1452.cnf,unsat,unsat,108.573,15.904,0.874,7.388,22.134,2.848
096e485489025895cdc59887baafa08b,test_v7_r17_vr5_c1_s25451.smt2-cvc4.cnf,unsat,unsat,10000.0,10000.0,1231.056,1924.541,10000.0,4300.26
0995a4bc27c94bca1d53bf83de369fd0,T93.2.0.cnf,unsat,unsat,10000.0,305.556,589.503,294.627,10000.0,10000.0
09991a55c8e3c8ec7966a0105a76d6e1,manol-pipe-c10nidw.cnf,unsat,unsat,2446.728,2176.779,168.594,92.5,10000.0,10000.0
09a58f93975cf27590153ceb26fb1ad6,Schur_161_5_d43.cnf,unsat,unsat,71.636,28.286,17.079,155.408,2888.145,163.442
09df54b3d75b42dbd0020c6b60a68fc6,shuffling-1-s1931574585-of-bench-sat04-328.used-as.sat04-449.cnf,unsat,unsat,374.42,1223.748,19.016,83.319,3975.031,25.641
09e6779ba720bc9c22bae55653614d53,crafted_n11_d6_c3_num4.cnf,unsat,unsat,434.785,619.759,46.939,2651.142,1051.627,386.668
09ed4d881b6dd70d30f59217573369f1,modgen-n200-m90860q08c40-21438.cnf,unsat,unsat,1.748,0.114,0.666,0.106,3.01,2.287
09f3078602566bbeb02821503e5d2554,modgen-n200-m90860q08c40-14424.cnf,unsat,unsat,187.149,4.479,8.879,62.454,213.685,70.189
09fb57fff97fc30b723f91d1c80965a6,E03N17.cnf,unsat,unsat,10.543,9.898,1.951,1.969,24.508,14.014
0a11a3dcc342fba24aeda274ad56d478,crafted_n11_d6_c4_num19.cnf,unsat,unsat,694.467,1207.932,154.363,2293.672,10000.0,10000.0
0a3eb47ad5266860241a8ff5d37f62bd,k2fix_gr_2pin_w9.shuffled-as.sat03-438.cnf,unsat,unsat,143.882,228.422,154.619,10.75,55.495,403.558
0a501c751f0483da0e9266753659ed6c,ctl_4291_567_5_unsat_pre.cnf,unknown,unsat,10000.0,10000.0,1626.805,10000.0,10000.0,10000.0
0a5ae0d5af40b6d41f8be446811aa796,mp1-blockpuzzle_8x8_s1_free4.cnf,unsat,unsat,160.493,706.917,32.996,377.479,2557.75,10000.0
0a60caf64b5ae6fdebacc9521c5ee731,udiv48prop.cnf,unsat,unsat,4128.808,10000.0,10000.0,3888.01,10000.0,10000.0
0a6722970ab81da486ca8c79b85f6c59,hwb-n20-03-S1899964371.shuffled-as.sat03-1609.cnf,unsat,unsat,37.45,21.583,2.174,12.882,37.56,4.552
0a7141f90e7beb369505bda957d830aa,Urquhart-s5-b7.shuffled.cnf,unknown,unsat,10000.0,10000.0,1.513,10000.0,10000.0,10000.0
0a7c533c247dac95d79cc0ff3cd0fb9f,rphp4_100_shuffled.cnf,unsat,unsat,1721.413,10000.0,249.551,10000.0,10000.0,313.572
0a7f0ceb23af7028dc9a46f3da3bb027,maxor032.cnf,unsat,unsat,97.546,14.892,5.773,12.266,208.451,31.664
0a81c16b871ab1a63046cc99041f4e47,a_rphp045_05.cnf,unsat,unsat,10000.0,10000.0,296.903,10000.0,10000.0,10000.0
0aab775f1790819177fb1851d9316efd,pb_300_04_lb_06.cnf,unsat,unsat,42.725,135.26,30.891,31.617,240.03,82.808
0ac5ff376b826f68d384ba05a1d00de0,sokoban-p20.sas.cr.33.cnf,unknown,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
0acb650946685281a796dcada88f8cfd,SGI_30_60_25_40_2-dir.shuffled-as.sat03-120.cnf,unsat,unsat,801.346,1451.296,75.119,2341.767,10000.0,1714.336
0acbab472c9386683c07f7a3ec214be3,9pipe_k.cnf,unsat,unsat,2109.759,520.332,33.701,146.435,1139.339,381.703
0aea4286a11d91ee8fa356d5db046373,gus-md5-08.cnf,unsat,unsat,1171.322,320.802,51.909,223.876,2306.068,981.489
0afdeb9b0b98e31fa0e9271a6706d8fb,gripper13u.shuffled-as.sat03-395.cnf,unsat,unsat,1368.035,10000.0,201.815,397.855,10000.0,3379.765
0b2011ed2094d1ed7eafb7615c484e5e,tseitingrid7x200_shuffled.cnf,unknown,unsat,10000.0,10000.0,542.449,10000.0,10000.0,4.315
0b2619b4f0508bd2c53b2d1122825cc4,longmult6.cnf,unsat,unsat,6.746,1.879,0.972,0.273,3.726,1.576
0b311dd23febc7f287a8a6f42d211779,een-pico-prop05-50.cnf,unsat,unsat,75.217,32.955,5.174,3.795,8.238,26.201
0b718ab9c97252d173487b79e0d1101a,ae_rphp095_04.cnf,unsat,unsat,2272.388,10000.0,273.791,3904.836,10000.0,1562.646
0b79fd06074d17e8919ae2de094c168b,manthey_single-ordered-initialized-w48-b6.cnf,unsat,unsat,493.264,348.54,26.298,310.841,206.096,305.913
0be7677e00434b17e9e35104d290f600,gensys-ukn002.shuffled-as.sat05-3842.cnf,unsat,unsat,340.542,481.916,16.979,382.786,937.55,837.354
0bf65687de95c5b3a3b8937b2c174bc4,frg1mul.miter.used-as.sat04-331.cnf,unsat,unsat,259.82,316.23,4.372,22.04,1357.328,28.316
0c2aa8574a42ef635b8878d6e193d142,crafted_n12_d6_c3_num19.cnf,unsat,unsat,131.417,1363.108,91.964,2157.286,10000.0,10000.0
0c352077e8e6ace62272ab13b1ca623c,Urquhart-s5-b3.shuffled-as.sat03-1572.cnf,unknown,unsat,10000.0,10000.0,0.972,10000.0,10000.0,10000.0
0c4355730d11bb18582d00f7266fdf27,puzzle34_unsat.cnf,unsat,unsat,3870.434,10000.0,129.865,595.204,4161.336,10000.0
0c4374d74eec3995417843b26034894f,pop96_shuffled.cnf,unsat,unsat,132.835,162.782,79.531,25.491,180.039,141.087
0c5733ee64d8332774e268862ec16132,fdmus_b22_355.cnf,unsat,unsat,14.618,6.608,0.668,0.726,6.638,6.772
0c58a98348cf101f179847469c649c1b,connm-ue-csp-sat-n600-d0.02-s1676244754.shuffled-as.sat05-535.cnf,unsat,unsat,105.985,77.516,13.283,212.129,2327.319,114.904
0c73ba1c522d042dc9d2688f5896650c,shift1add.15982.cnf,unsat,unsat,51.896,79.439,76.894,4.376,57.346,134.666
0c7e74a3efcd698000f761accd506ac1,rand_net70-40-1.shuffled.cnf,unsat,unsat,13.75,17.2,0.668,1.138,20.87,14.129
0cab9100cdd8505069301d658d085899,AProVE07-01.cnf,unsat,unsat,10000.0,10000.0,248.811,2286.861,10000.0,10000.0
0cb3538f0197f24fc57d79913b0531d9,VanDerWaerden_pd_2-3-18_313.cnf,unsat,unsat,18.93,22.583,2.75,7.629,48.766,3.474
0cca2c91974f5ad8064965cd97bcea74,SAT_dat.k35-31_2_rule_2.cnf,unsat,unsat,3288.982,10000.0,469.327,793.117,10000.0,734.424
0ccbe90c246f198ecab671c9e5e8cf52,rnd-v25-e81-k8.cnf,unsat,unsat,193.766,901.54,195.023,604.949,10000.0,1160.984
0ccc2718c8a88220ddc024a435c39ab9,LABS_n071_goal001.cnf,unsat,unsat,10000.0,4704.967,554.003,2521.641,10000.0,10000.0
0cd03d3b393ee74468e3a7764bf113da,rnd-v25-e67-k8.cnf,unsat,unsat,10000.0,10000.0,531.675,1440.323,10000.0,10000.0
0cdc3028845a704c1ed287ce5dbe8a76,f7nidw.cnf,unsat,unsat,410.792,471.529,50.514,49.568,493.583,10000.0
0cde4f22de8c11325ceadc0a1f87f161,hid-uns-enc-6-1-0-0-0-0-30547.cnf,unsat,unsat,225.522,1631.154,41.0,371.443,3430.753,220.654
0ce6a24a8c017370b5be13b2830ec3e0,pmg-14-UNSAT.sat05-3942.reshuffled-07.cnf,unknown,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,3.078
0ce80a3905fd38cb9566e38daee8c333,T77.2.0.cnf,unsat,unsat,10000.0,10000.0,245.702,271.912,4015.155,1157.374
0cfd3165c1106756944f6634c3c1296d,g2-T108.2.1.cnf,unsat,unsat,10000.0,10000.0,4543.179,1828.452,10000.0,10000.0
